ID_Vuelo,temp,prcp,snow,wdir,wspd,wpgt,pres,coco
18333214,0.0,,,170.0,7.6,,,
18333215,24.4,0.0,,190.0,20.5,,1010.7,
18333216,-1.7,0.0,,190.0,14.8,,1028.9,
18333217,0.6,0.0,,130.0,9.4,,1028.4,
18333218,-2.2,0.0,,180.0,14.8,,1028.0,
18333219,19.4,0.3,,110.0,7.6,,1011.1,
18333220,7.8,2.3,,350.0,18.4,,1011.9,7.0
18333221,0.6,0.0,,130.0,9.4,,1028.4,
18333222,-1.7,0.0,,190.0,14.8,,1028.9,
18333223,19.4,0.3,,110.0,7.6,,1011.1,
18333224,24.4,0.0,,170.0,22.3,,1011.4,
18333225,-1.7,0.0,,190.0,14.8,,1028.9,
18333226,0.6,0.0,,90.0,14.8,,1025.4,
18333227,0.6,0.0,,130.0,9.4,,1028.4,
18333228,0.6,0.0,,130.0,9.4,,1028.4,
18333229,18.9,,,160.0,29.5,,1009.6,
18333230,0.6,0.0,,130.0,9.4,,1028.4,
18333231,25.0,0.0,,170.0,16.6,,1011.8,
18333232,25.0,0.0,,110.0,11.2,,1017.3,
18333233,28.9,0.0,,,0.0,,1015.1,
18333234,-7.2,,,70.0,16.6,,1027.4,14.0
18333235,0.6,0.0,,130.0,9.4,,1028.4,
18333236,19.4,14.2,,190.0,0.0,,1010.5,
18333237,0.6,0.3,,80.0,16.6,,1022.9,14.0
18333238,19.4,0.3,,110.0,7.6,,1011.1,
18333240,0.0,,,170.0,7.6,,,
18333241,-2.8,0.0,,170.0,5.4,,1029.3,
18333242,0.6,0.0,,130.0,9.4,,1028.4,
18333243,0.0,,,170.0,7.6,,,
18333244,0.6,0.0,,130.0,9.4,,1028.4,
18333245,-1.7,0.0,,190.0,14.8,,1028.9,
18333246,3.3,0.8,,40.0,22.3,,1015.0,
18333247,0.6,0.0,,130.0,9.4,,1028.4,
18333248,-1.7,0.0,,190.0,14.8,,1028.9,
18333249,24.4,0.0,,170.0,22.3,,1011.4,
18333250,0.6,0.0,,130.0,9.4,,1028.4,
18333251,14.4,0.0,,260.0,13.0,,1015.2,
18333252,19.4,14.2,,190.0,0.0,,1010.5,
18333253,19.4,0.3,,110.0,7.6,,1011.1,
18333254,-6.7,0.0,,360.0,11.2,,1029.8,
18333255,0.6,0.0,,130.0,9.4,,1028.4,
18333256,1.7,0.8,,70.0,14.8,,1022.8,14.0
18333257,19.4,14.2,,190.0,0.0,,1010.5,
18333258,19.4,0.3,,110.0,7.6,,1011.1,
18333259,-1.7,0.0,,190.0,14.8,,1028.9,
18333260,0.6,0.0,,90.0,14.8,,1025.4,
18333261,-1.7,0.0,,190.0,14.8,,1028.9,
18333262,25.0,0.0,,110.0,11.2,,1017.3,
18333263,0.6,0.0,,130.0,9.4,,1028.4,
18333264,25.0,0.0,,170.0,16.6,,1011.8,
18333265,-2.2,0.0,,180.0,14.8,,1028.0,
18333266,19.4,0.3,,110.0,7.6,,1011.1,
18333267,0.6,0.0,,130.0,9.4,,1028.4,
18333268,-1.7,0.0,,190.0,14.8,,1028.9,
18333269,14.4,0.0,,260.0,13.0,,1015.2,
18333270,0.6,0.0,,130.0,9.4,,1028.4,
18333271,1.7,0.8,,70.0,14.8,,1022.8,14.0
18333273,0.6,0.0,,130.0,9.4,,1028.4,
18333274,0.0,,,170.0,7.6,,,
18333275,25.0,0.0,,170.0,16.6,,1011.8,
18333276,-2.8,0.0,,170.0,5.4,,1029.3,
18333277,0.6,0.0,,130.0,9.4,,1028.4,
18333278,-1.7,0.0,,190.0,14.8,,1028.9,
18333279,-1.7,,,30.0,22.3,,,15.0
18333280,-6.7,0.0,,70.0,5.4,,1027.0,
18333281,0.6,0.0,,130.0,9.4,,1028.4,
18333282,0.6,0.0,,130.0,9.4,,1028.4,
18333283,14.4,0.0,,260.0,13.0,,1015.2,
18333284,0.6,0.0,,130.0,9.4,,1028.4,
18333285,19.4,14.2,,190.0,0.0,,1010.5,
18333286,0.0,,,170.0,7.6,,,
18333287,19.4,0.3,,110.0,7.6,,1011.1,
18333288,0.6,0.0,,130.0,9.4,,1028.4,
18333289,-2.2,0.0,,180.0,14.8,,1028.0,
18333290,19.4,0.3,,110.0,7.6,,1011.1,
18333291,24.4,0.0,,170.0,22.3,,1011.4,
18333292,0.6,0.0,,130.0,9.4,,1028.4,
18333293,0.0,1.3,,110.0,5.4,,1022.7,
18333294,-1.7,0.0,,190.0,14.8,,1028.9,
18333295,0.6,0.0,,130.0,9.4,,1028.4,
18333296,24.4,0.0,,170.0,22.3,,1011.4,
18333298,0.6,0.0,,90.0,14.8,,1025.4,
18333299,25.0,0.0,,170.0,16.6,,1011.8,
18333300,-1.7,0.0,,190.0,14.8,,1028.9,
18333301,1.7,0.8,,70.0,14.8,,1022.8,14.0
18333302,-1.7,0.0,,190.0,14.8,,1028.9,
18333303,19.4,14.2,,190.0,0.0,,1010.5,
18333304,0.6,0.0,,130.0,9.4,,1028.4,
18333305,-2.2,0.0,,150.0,13.0,,1028.5,
18333306,19.4,0.3,,110.0,7.6,,1011.1,
18333307,13.9,,,340.0,24.1,,1017.3,
18333308,-1.7,0.0,,190.0,14.8,,1028.9,
18333309,25.0,0.0,,170.0,16.6,,1011.8,
18333310,0.6,0.0,,130.0,9.4,,1028.4,
18333311,-1.7,0.0,,190.0,14.8,,1028.9,
18333312,0.6,0.0,,130.0,9.4,,1028.4,
18333313,0.6,0.0,,130.0,9.4,,1028.4,
18333314,-1.7,0.0,,190.0,14.8,,1028.9,
18333315,0.6,0.0,,130.0,9.4,,1028.4,
18333316,14.4,0.0,,260.0,13.0,,1015.2,
18333317,0.6,0.0,,130.0,9.4,,1028.4,
18333318,19.4,14.2,,190.0,0.0,,1010.5,
18333319,-1.7,0.0,,190.0,14.8,,1028.9,
18333320,1.7,0.8,,70.0,14.8,,1022.8,14.0
18333321,22.2,0.0,,280.0,22.3,,1015.8,
18333322,-3.3,,,40.0,22.3,,1021.2,14.0
18333323,-1.7,0.0,,190.0,14.8,,1028.9,
18333325,-1.7,0.0,,190.0,14.8,,1028.9,
18333326,19.4,0.3,,110.0,7.6,,1011.1,
18333327,0.6,0.0,,130.0,9.4,,1028.4,
18333328,24.4,0.0,,170.0,22.3,,1011.4,
18333329,-1.7,0.0,,190.0,14.8,,1028.9,
18333330,0.0,1.3,,110.0,5.4,,1022.7,
18333331,-1.7,0.0,,190.0,14.8,,1028.9,
18333332,-1.7,0.0,,190.0,14.8,,1028.9,
18333333,25.0,0.0,,170.0,16.6,,1011.8,
18333335,25.0,0.0,,110.0,11.2,,1017.3,
18333336,24.4,0.0,,190.0,20.5,,1010.7,
18333337,-1.7,0.0,,190.0,14.8,,1028.9,
18333338,25.0,0.0,,170.0,16.6,,1011.8,
18333339,-1.7,0.0,,190.0,14.8,,1028.9,
18333340,-3.9,0.0,,170.0,7.6,,1028.9,
18333341,0.6,0.0,,130.0,9.4,,1028.4,
18333342,1.7,0.8,,70.0,14.8,,1022.8,14.0
18333343,0.6,0.0,,130.0,9.4,,1028.4,
18333344,-1.7,0.0,,190.0,14.8,,1028.9,
18333345,14.4,0.0,,260.0,13.0,,1015.2,
18333346,1.7,0.8,,70.0,14.8,,1022.8,14.0
18333347,-8.3,0.3,,60.0,22.3,,1025.8,14.0
18333348,14.4,0.0,,260.0,13.0,,1015.2,
18333349,-1.7,0.0,,190.0,14.8,,1028.9,
18333350,8.9,0.0,,40.0,9.4,,1018.3,
18333351,18.9,0.3,,,0.0,,1010.7,
18333352,25.0,0.0,,170.0,16.6,,1011.8,
18333353,25.0,0.0,,170.0,16.6,,1011.8,
18333354,-1.7,0.0,,190.0,14.8,,1028.9,
18333355,0.6,0.0,,130.0,9.4,,1028.4,
18333356,0.6,0.0,,130.0,9.4,,1028.4,
18333357,19.4,14.2,,190.0,0.0,,1010.5,
18333358,0.0,,,170.0,7.6,,,
18333359,-2.2,0.0,,180.0,14.8,,1028.0,
18333360,22.2,0.0,,280.0,22.3,,1015.8,
18333362,25.0,0.0,,170.0,16.6,,1011.8,
18333363,0.0,,,170.0,7.6,,,
18333364,24.4,0.0,,170.0,22.3,,1011.4,
18333365,19.4,14.2,,190.0,0.0,,1010.5,
18333366,-1.7,0.0,,190.0,14.8,,1028.9,
18333367,0.6,0.0,,130.0,9.4,,1028.4,
18333368,1.7,0.8,,70.0,14.8,,1022.8,14.0
18333369,-1.7,0.0,,190.0,14.8,,1028.9,
18333370,25.0,0.0,,170.0,16.6,,1011.8,
18333371,0.0,,,170.0,7.6,,,
18333372,19.4,14.2,,190.0,0.0,,1010.5,
18333373,0.6,0.0,,130.0,9.4,,1028.4,
18333374,25.0,0.0,,170.0,16.6,,1011.8,
18333375,22.2,0.0,,280.0,22.3,,1015.8,
18333376,0.6,0.0,,130.0,9.4,,1028.4,
18333378,-7.2,,,70.0,16.6,,1027.4,14.0
18333379,0.6,0.0,,130.0,9.4,,1028.4,
18333380,1.7,0.8,,70.0,14.8,,1022.8,14.0
18333381,25.0,0.0,,170.0,16.6,,1011.8,
18333382,-1.7,0.0,,190.0,14.8,,1028.9,
18333383,11.1,0.0,,,0.0,,1018.0,
18333384,-2.2,0.0,,180.0,14.8,,1028.0,
18333385,0.6,0.0,,130.0,9.4,,1028.4,
18333386,-1.7,0.0,,190.0,14.8,,1028.9,
18333387,0.0,,,170.0,7.6,,,
18333388,0.6,0.0,,130.0,9.4,,1028.4,
18333389,0.6,0.0,,130.0,9.4,,1028.4,
18333390,17.2,0.0,,320.0,13.0,,1016.3,
18333391,0.6,0.0,,130.0,9.4,,1028.4,
18333392,14.4,0.0,,260.0,13.0,,1015.2,
18333393,0.6,0.3,,80.0,16.6,,1022.9,14.0
18333394,-1.7,0.0,,190.0,14.8,,1028.9,
18333396,24.4,0.0,,170.0,22.3,,1011.4,
18333397,-3.3,,,40.0,22.3,,1021.2,14.0
18333398,-1.7,0.0,,190.0,14.8,,1028.9,
18333399,0.0,,,170.0,7.6,,,
18333400,24.4,0.0,,170.0,22.3,,1011.4,
18333401,-1.7,0.0,,190.0,14.8,,1028.9,
18333402,0.6,0.0,,130.0,9.4,,1028.4,
18333403,24.4,0.0,,170.0,22.3,,1011.4,
18333404,-6.7,0.0,,70.0,5.4,,1027.0,
18333405,19.4,0.3,,110.0,7.6,,1011.1,
18333406,0.6,0.0,,90.0,14.8,,1025.4,
18333407,-1.7,0.0,,190.0,14.8,,1028.9,
18333408,19.4,0.3,,110.0,7.6,,1011.1,
18333409,0.6,0.0,,130.0,9.4,,1028.4,
18333410,0.6,0.0,,130.0,9.4,,1028.4,
18333411,0.6,0.0,,130.0,9.4,,1028.4,
18333412,13.3,3.8,,350.0,13.0,,1011.7,8.0
18333413,19.4,0.3,,110.0,7.6,,1011.1,
18333414,-1.7,0.0,,190.0,14.8,,1028.9,
18333415,-1.7,0.0,,190.0,14.8,,1028.9,
18333416,-1.7,0.0,,190.0,14.8,,1028.9,
18333417,0.6,0.3,,80.0,16.6,,1022.9,14.0
18333466,-2.2,0.0,,180.0,14.8,,1028.0,
18333497,14.4,0.0,,260.0,13.0,,1015.2,
18333528,25.0,0.0,,170.0,16.6,,1011.8,
18333559,0.6,0.0,,130.0,9.4,,1028.4,
18333620,25.0,0.0,,170.0,16.6,,1011.8,
18333650,0.6,0.0,,130.0,9.4,,1028.4,
18333667,1.7,0.8,,70.0,14.8,,1022.8,14.0
18333668,-1.7,0.0,,190.0,14.8,,1028.9,
18333669,-1.7,0.0,,190.0,14.8,,1028.9,
18333670,24.4,0.0,,170.0,22.3,,1011.4,
18333671,1.7,0.8,,70.0,14.8,,1022.8,14.0
18333672,19.4,0.3,,110.0,7.6,,1011.1,
18333673,-1.7,0.0,,190.0,14.8,,1028.9,
18333674,-1.7,0.0,,190.0,14.8,,1028.9,
18333676,22.2,0.0,,280.0,22.3,,1015.8,
18333677,-1.7,0.0,,190.0,14.8,,1028.9,
18333679,-1.7,0.0,,190.0,14.8,,1028.9,
18333680,0.6,0.0,,90.0,14.8,,1025.4,
18333682,-1.7,0.0,,190.0,14.8,,1028.9,
18333683,-1.7,0.0,,190.0,14.8,,1028.9,
18333684,1.1,0.8,,40.0,20.5,,1019.9,8.0
18333685,1.7,0.8,,70.0,14.8,,1022.8,14.0
18333686,16.7,0.0,,60.0,11.2,,1020.7,
18333687,0.6,0.0,,130.0,9.4,,1028.4,
18333688,1.7,0.8,,70.0,14.8,,1022.8,14.0
18333689,0.0,,,170.0,7.6,,,
18333690,-1.7,0.0,,190.0,14.8,,1028.9,
18333691,25.0,0.0,,60.0,14.8,,1017.5,
18333692,25.0,0.0,,110.0,11.2,,1017.3,
18333693,0.0,,,170.0,7.6,,,
18333694,24.4,0.0,,190.0,20.5,,1010.7,
18333695,-2.2,0.0,,150.0,13.0,,1028.5,
18333696,25.0,0.0,,170.0,16.6,,1011.8,
18333697,-8.3,0.3,,60.0,22.3,,1025.8,14.0
18333698,-1.7,0.0,,190.0,14.8,,1028.9,
18333699,24.4,0.0,,170.0,22.3,,1011.4,
18333700,1.7,0.8,,70.0,14.8,,1022.8,14.0
18333701,-1.7,0.0,,190.0,14.8,,1028.9,
18333702,-1.7,0.0,,190.0,14.8,,1028.9,
18333704,-1.7,0.0,,190.0,14.8,,1028.9,
18333705,24.0,,,,0.0,,,
18333706,0.6,0.0,,130.0,9.4,,1028.4,
18333707,8.5,,,,0.0,,1011.8,
18333708,19.4,0.3,,110.0,7.6,,1011.1,
18333709,-1.7,0.0,,190.0,14.8,,1028.9,
18333710,-1.7,0.0,,190.0,14.8,,1028.9,
18333711,0.6,0.0,,130.0,9.4,,1028.4,
18333712,2.8,2.5,,40.0,14.8,,1016.4,7.0
18333713,-1.7,0.0,,190.0,14.8,,1028.9,
18333714,1.7,0.8,,70.0,14.8,,1022.8,14.0
18333715,-1.7,0.0,,190.0,14.8,,1028.9,
18333716,19.4,14.2,,190.0,0.0,,1010.5,
18333717,-2.2,0.0,,180.0,14.8,,1028.0,
18333718,24.4,0.0,,190.0,20.5,,1010.7,
18333719,0.6,0.0,,130.0,9.4,,1028.4,
18333720,-1.7,,,30.0,22.3,,,15.0
18333721,0.6,0.0,,130.0,9.4,,1028.4,
18333722,22.2,0.0,,280.0,22.3,,1015.8,
18333723,-1.7,0.0,,190.0,14.8,,1028.9,
18333724,0.6,0.0,,130.0,9.4,,1028.4,
18333725,-1.7,0.0,,190.0,14.8,,1028.9,
18333726,0.6,0.0,,130.0,9.4,,1028.4,
18333727,0.0,,,170.0,7.6,,,
18333728,19.4,0.3,,110.0,7.6,,1011.1,
18333729,0.6,0.0,,130.0,9.4,,1028.4,
18333730,24.4,0.0,,190.0,20.5,,1010.7,
18333731,18.9,,,160.0,29.5,,1009.6,
18333732,28.9,0.0,,,0.0,,1015.1,
18333733,-1.7,0.0,,190.0,14.8,,1028.9,
18333734,19.4,0.3,,110.0,7.6,,1011.1,
18333735,-2.2,0.0,,180.0,14.8,,1028.0,
18333736,25.0,0.0,,110.0,11.2,,1017.3,
18333737,-1.7,0.0,,190.0,14.8,,1028.9,
18333738,24.4,0.0,,190.0,20.5,,1010.7,
18333740,0.6,0.0,,90.0,14.8,,1025.4,
18333741,0.6,0.0,,130.0,9.4,,1028.4,
18333742,2.8,2.5,,40.0,14.8,,1016.4,7.0
18333743,7.8,2.3,,350.0,18.4,,1011.9,7.0
18333744,1.7,0.8,,70.0,14.8,,1022.8,14.0
18333745,-1.7,0.0,,190.0,14.8,,1028.9,
18333746,-2.2,0.0,,150.0,13.0,,1028.5,
18333747,25.0,0.0,,170.0,16.6,,1011.8,
18333748,0.0,,,170.0,7.6,,,
18333749,-1.7,0.0,,190.0,14.8,,1028.9,
18333750,-1.7,,,30.0,22.3,,,15.0
18333751,0.6,0.0,,130.0,9.4,,1028.4,
18333752,24.4,0.0,,170.0,22.3,,1011.4,
18333753,-1.7,0.0,,190.0,14.8,,1028.9,
18333754,-1.7,0.0,,190.0,14.8,,1028.9,
18333755,0.6,0.0,,130.0,9.4,,1028.4,
18333756,1.7,0.8,,70.0,14.8,,1022.8,14.0
18333757,-1.7,0.0,,190.0,14.8,,1028.9,
18333758,-1.7,0.0,,190.0,14.8,,1028.9,
18333759,25.0,0.0,,170.0,16.6,,1011.8,
18333760,-3.9,0.0,,170.0,7.6,,1028.9,
18333761,19.4,0.3,,110.0,7.6,,1011.1,
18333762,-1.7,0.0,,190.0,14.8,,1028.9,
